source,chain,broker,sum_price,listing_count,commission_base,commission_avg
DNB,DNB Eiendom,Eirik Nguyen,1599953652.0,268,19999420.650000002,74624.70391791046
DNB,DNB Eiendom,Ellen Mjaaland,1320358896.0,234,16504486.200000001,70531.99230769232
DNB,DNB Eiendom,Ingrid Kvernes,1171779488.0,283,14647243.600000001,51757.0445229682
DNB,DNB Eiendom,Christian Hauge,1124555521.0,264,14056944.012500001,53246.00004734849
DNB,DNB Eiendom,Morten Lysaker,1038957574.0,159,12986969.675,81679.05455974843
DNB,DNB Eiendom,Monica S. Holmen,1027540700.0,209,12844258.75,61455.783492822964
DNB,DNB Eiendom,Ragnhild Grødem,949213861.0,207,11865173.262500001,57319.67759661836
DNB,DNB Eiendom,Ferhat Taymur,938409330.0,141,11730116.625,83192.3164893617
DNB,DNB Eiendom,Tove Strand,855935052.0,165,10699188.15,64843.564545454545
DNB,DNB Eiendom,Bodil Kragebøl Ullsgård,828448372.0,186,10355604.65,55675.2938172043
DNB,DNB Eiendom,Silje Kristine Vestskog,802718086.0,196,10033976.075000001,51193.75548469388
DNB,DNB Eiendom,Kristin J.  Sæther,748771741.0,184,9359646.762500001,50867.64544836957
DNB,DNB Eiendom,Ina Allum,673601581.0,141,8420019.762500001,59716.452216312064
DNB,DNB Eiendom,Joachim Norum Larsen,617753404.0,61,7721917.550000001,126588.81229508198
DNB,DNB Eiendom,Ida Emilie Tollefsen Sande,575829094.0,89,7197863.675000001,80874.872752809
DNB,DNB Eiendom,Beate Bøhren,520418081.0,124,6505226.0125,52461.50010080645
Hjem.no,Nordvik Frogner,Frederick Horntvedt,483850000.0,33,6048125.0,183276.51515151514
Hjem.no,Nordvik Frogner,Stian Pøhner,442250000.0,24,5528125.0,230338.54166666666
Hjem.no,Sem & Johnsen,Trond Larsen,375902000.0,15,4698775.0,313251.6666666667
Hjem.no,PrivatMegleren Dyve & Partnere,Alexander Sandaas,370690000.0,15,4633625.0,308908.3333333333
Hjem.no,PrivatMegleren Dyve & Partnere,Fredrik Dyve,356300000.0,11,4453750.0,404886.36363636365
Hjem.no,Sem & Johnsen,Marius Berger,346000000.0,20,4325000.0,216250.0
Hjem.no,PrivatMegleren Dyve & Partnere,Oda Moen Sandbraaten,332500000.0,10,4156250.0,415625.0
DNB,DNB Eiendom,Odd Lennart Willassen,327233893.0,78,4090423.6625,52441.329006410255
Hjem.no,Nordvik Frogner,Siril Slorer Sloreby,320650000.0,18,4008125.0,222673.61111111112
Hjem.no,Eiendomsmegler Norge ,Jon Andreas Røsstad,307030000.0,22,3837875.0,174448.86363636365
DNB,DNB Eiendom,Oskar Arnsen Haukebø,305560065.0,35,3819500.8125,109128.59464285715
DNB,DNB Eiendom,Jonas Hesthammer,302302089.0,26,3778776.1125000003,145337.54278846155
Hjem.no,EIE Bærum,Edvard Chapsang,302120000.0,26,3776500.0,145250.0
DNB,DNB Eiendom,Jan Michael Skottun,301544200.0,60,3769302.5,62821.708333333336
Hjem.no,EIE Sandefjord,Didrik Schou,300490000.0,23,3756125.0,163309.78260869565
DNB,DNB Eiendom,Siri Sannes,293992132.0,58,3674901.6500000004,63360.373275862075
Hjem.no,Sem & Johnsen,Sarah Aamodt,285710000.0,19,3571375.0,187967.1052631579
Hjem.no,Sem & Johnsen,Elin Lee,285500000.0,12,3568750.0,297395.8333333333
Hjem.no,Sem & Johnsen,Jan Fredrik Bonde,272830000.0,9,3410375.0,378930.55555555556
DNB,DNB Eiendom,Eva Brith Andersen,270932932.0,57,3386661.6500000004,59415.116666666676
Hjem.no,Proaktiv Trondheim Sentrum,Eirik Døsen,265290000.0,15,3316125.0,221075.0
Hjem.no,EIE Bærum,Kenneth Eckmann,263830000.0,30,3297875.0,109929.16666666667
Hjem.no,PrivatMegleren Premium,Emilie Garnæs,254840000.0,16,3185500.0,199093.75
Hjem.no,Nordvik Bygdøy Allé,Marthe Skabo,254150000.0,16,3176875.0,198554.6875
DNB,DNB Eiendom,Bjørn Møvik,252693170.0,54,3158664.625,58493.789351851854
DNB,DNB Eiendom,Eskil Hansen Horten,247522732.0,41,3094034.1500000004,75464.24756097562
Hjem.no,Nordvik St.Hanshaugen,Thomas Kiligitto,234160000.0,19,2927000.0,154052.63157894736
Hjem.no,Privatmegleren Park,Thor Vegard Bjørnerud,233190000.0,28,2914875.0,104102.67857142857
Hjem.no,Sem & Johnsen,Christian A. Aamodt,232000000.0,9,2900000.0,322222.22222222225
Hjem.no,Nordvik Frogner,Kristian Karlsrud,231890000.0,12,2898625.0,241552.08333333334
Hjem.no,Privatmegleren Park,Mick H. S. Rødsten,227520000.0,15,2844000.0,189600.0
Hjem.no,PrivatMegleren Vikebø & Jørgensen,Tom Jørgensen,226350000.0,10,2829375.0,282937.5
Hjem.no,EIE Bærum,Marius Hyllmark Anderssen,223190000.0,19,2789875.0,146835.52631578947
DNB,DNB Eiendom,Martin Slåttholm Sønsteli,220971950.0,46,2762149.375,60046.725543478264
Hjem.no,PrivatMegleren Panorama,Soliman Sarwar,220580000.0,19,2757250.0,145118.42105263157
Hjem.no,Bakke Sørvik & Partners,Jeanette Sørvik,215790000.0,20,2697375.0,134868.75
Hjem.no,Krogsveen Ålesund,Marit Stuen Aursnes,213460000.0,29,2668250.0,92008.62068965517
Hjem.no,Proaktiv Oslo,Alexandra Nygård,212980000.0,14,2662250.0,190160.7142857143
Hjem.no,PrivatMegleren Dyve & Partnere,Michael R. Øistad,210400000.0,8,2630000.0,328750.0
Hjem.no,Nordvik Frogner,Hannah Westlie Gromholt,210170000.0,15,2627125.0,175141.66666666666
DNB,DNB Eiendom,Jeanette Arnesen-Eriksrød,208585945.0,54,2607324.3125,48283.78356481482
Hjem.no,Sem & Johnsen,Tom Elliot Johnsen,202400000.0,8,2530000.0,316250.0
Hjem.no,EIE Majorstuen,Anders Andersen,200700000.0,20,2508750.0,125437.5
Hjem.no,Bakke Sørvik & Partners,Jens Roland Pettersen,199090000.0,20,2488625.0,124431.25
Hjem.no,Krogsveen Lillestrøm,Eskil R. Tyskeberget,198515000.0,28,2481437.5,88622.76785714286
Hjem.no,Attentus Follo Eiendomsmegling,Vetle Just Kvammen,197400000.0,47,2467500.0,52500.0
Hjem.no,Sem & Johnsen,Camilla Sem,196700000.0,10,2458750.0,245875.0
Hjem.no,Eiendomsmegler Norge Kristiansand,Henrik Lossius,193930000.0,37,2424125.0,65516.89189189189
Hjem.no,Eiendomsmegler Norge Kristiansand,Kristian Lossius,193930000.0,37,2424125.0,65516.89189189189
Hjem.no,Nordvik Moss,Jeanette Hornsletten,191120000.0,34,2389000.0,70264.70588235294
Hjem.no,Privatmegleren Park,Anne Naper,190460000.0,16,2380750.0,148796.875
DNB,DNB Eiendom,Bettina Due,188767867.0,10,2359598.3375,235959.83375
Hjem.no,Nordvik Bygdøy Allé,Camilla Lindstad,187980000.0,8,2349750.0,293718.75
Hjem.no,"Advanti & Partners, Alta",Daniel André Adamsen,186455000.0,23,2330687.5,101334.23913043478
Hjem.no,Nordvik Bygdøy Allé,Peter Björklund,186400000.0,10,2330000.0,233000.0
DNB,DNB Eiendom,Fredrik Haaker,183566590.0,28,2294582.375,81949.37053571429
Hjem.no,Nordvik Fredrikstad og Hvaler,Line Pettersen,180730000.0,33,2259125.0,68458.33333333333
Hjem.no,EIE Majorstuen,Edvard Ingebrigtsen,178190000.0,27,2227375.0,82495.37037037036
Hjem.no,Eiendomsmegler Norge Kristiansand,Pål Birkeland,178000000.0,21,2225000.0,105952.38095238095
Hjem.no,Privatmegleren Park,Kaoutar El Malmi,177680000.0,13,2221000.0,170846.15384615384
Hjem.no,Nordvik Tønsberg,Jørgen Nyhus,176900000.0,24,2211250.0,92135.41666666667
Hjem.no,EIE Jessheim,Kristin Kjeksli,175560000.0,38,2194500.0,57750.0
DNB,DNB Eiendom,Fredrik Mørch Døviken,174021287.0,28,2175266.0875,77688.07455357142
Hjem.no,Nordvik Bygdøy Allé,Nils O.M. Nordvik,173900000.0,5,2173750.0,434750.0
Hjem.no,Krogsveen Fredrikstad og Sarpsborg,Kenneth Graarud Olsen,171840000.0,33,2148000.0,65090.90909090909
Hjem.no,Nordvik Bærum,Jan-Petter Solberg Hansen,168400000.0,10,2105000.0,210500.0
